alias,code,emoji
"grinning","\U0001f600","😀"
"smiley","\U0001f603","😃"
"smile","\U0001f604","😄"
"grin","\U0001f601","😁"
"laughing","\U0001f606","😆"
"satisfied","\U0001f606","😆"
"sweat_smile","\U0001f605","😅"
"joy","\U0001f602","😂"
"rofl","\U0001f923","🤣"
"rolling_on_the_floor_laughing","\U0001f923","🤣"
"relaxed","\u263a\ufe0f","☺️"
"blush","\U0001f60a","😊"
"innocent","\U0001f607","😇"
"slight_smile","\U0001f642","🙂"
"slightly_smiling_face","\U0001f642","🙂"
"upside_down","\U0001f643","🙃"
"upside_down_face","\U0001f643","🙃"
"wink","\U0001f609","😉"
"relieved","\U0001f60c","😌"
"smiling_face_with_tear","\U0001f972","🥲"
"heart_eyes","\U0001f60d","😍"
"smiling_face_with_3_hearts","\U0001f970","🥰"
"kissing_heart","\U0001f618","😘"
"kissing","\U0001f617","😗"
"kissing_smiling_eyes","\U0001f619","😙"
"kissing_closed_eyes","\U0001f61a","😚"
"yum","\U0001f60b","😋"
"stuck_out_tongue","\U0001f61b","😛"
"stuck_out_tongue_closed_eyes","\U0001f61d","😝"
"stuck_out_tongue_winking_eye","\U0001f61c","😜"
"zany_face","\U0001f92a","🤪"
"face_with_raised_eyebrow","\U0001f928","🤨"
"face_with_monocle","\U0001f9d0","🧐"
"nerd","\U0001f913","🤓"
"nerd_face","\U0001f913","🤓"
"sunglasses","\U0001f60e","😎"
"star_struck","\U0001f929","🤩"
"partying_face","\U0001f973","🥳"
"smirk","\U0001f60f","😏"
"unamused","\U0001f612","😒"
"disappointed","\U0001f61e","😞"
"pensive","\U0001f614","😔"
"worried","\U0001f61f","😟"
"confused","\U0001f615","😕"
"slight_frown","\U0001f641","🙁"
"slightly_frowning_face","\U0001f641","🙁"
"frowning2","\u2639\ufe0f","☹️"
"white_frowning_face","\u2639\ufe0f","☹️"
"persevere","\U0001f623","😣"
"confounded","\U0001f616","😖"
"tired_face","\U0001f62b","😫"
"weary","\U0001f629","😩"
"pleading_face","\U0001f97a","🥺"
"cry","\U0001f622","😢"
"sob","\U0001f62d","😭"
"triumph","\U0001f624","😤"
"face_exhaling","\U0001f62e\u200d\U0001f4a8","😮‍💨"
"angry","\U0001f620","😠"
"rage","\U0001f621","😡"
"face_with_symbols_over_mouth","\U0001f92c","🤬"
"exploding_head","\U0001f92f","🤯"
"flushed","\U0001f633","😳"
"face_in_clouds","\U0001f636\u200d\U0001f32b\ufe0f","😶‍🌫️"
"hot_face","\U0001f975","🥵"
"cold_face","\U0001f976","🥶"
"scream","\U0001f631","😱"
"fearful","\U0001f628","😨"
"cold_sweat","\U0001f630","😰"
"disappointed_relieved","\U0001f625","😥"
"sweat","\U0001f613","😓"
"hugging","\U0001f917","🤗"
"hugging_face","\U0001f917","🤗"
"thinking","\U0001f914","🤔"
"thinking_face","\U0001f914","🤔"
"face_with_hand_over_mouth","\U0001f92d","🤭"
"yawning_face","\U0001f971","🥱"
"shushing_face","\U0001f92b","🤫"
"lying_face","\U0001f925","🤥"
"liar","\U0001f925","🤥"
"no_mouth","\U0001f636","😶"
"neutral_face","\U0001f610","😐"
"expressionless","\U0001f611","😑"
"grimacing","\U0001f62c","😬"
"rolling_eyes","\U0001f644","🙄"
"face_with_rolling_eyes","\U0001f644","🙄"
"hushed","\U0001f62f","😯"
"frowning","\U0001f626","😦"
"anguished","\U0001f627","😧"
"open_mouth","\U0001f62e","😮"
"astonished","\U0001f632","😲"
"sleeping","\U0001f634","😴"
"drooling_face","\U0001f924","🤤"
"drool","\U0001f924","🤤"
"sleepy","\U0001f62a","😪"
"dizzy_face","\U0001f635","😵"
"face_with_spiral_eyes","\U0001f635\u200d\U0001f4ab","😵‍💫"
"zipper_mouth","\U0001f910","🤐"
"zipper_mouth_face","\U0001f910","🤐"
"woozy_face","\U0001f974","🥴"
"nauseated_face","\U0001f922","🤢"
"sick","\U0001f922","🤢"
"face_vomiting","\U0001f92e","🤮"
"sneezing_face","\U0001f927","🤧"
"sneeze","\U0001f927","🤧"
"mask","\U0001f637","😷"
"thermometer_face","\U0001f912","🤒"
"face_with_thermometer","\U0001f912","🤒"
"head_bandage","\U0001f915","🤕"
"face_with_head_bandage","\U0001f915","🤕"
"money_mouth","\U0001f911","🤑"
"money_mouth_face","\U0001f911","🤑"
"cowboy","\U0001f920","🤠"
"face_with_cowboy_hat","\U0001f920","🤠"
"disguised_face","\U0001f978","🥸"
"smiling_imp","\U0001f608","😈"
"imp","\U0001f47f","👿"
"japanese_ogre","\U0001f479","👹"
"japanese_goblin","\U0001f47a","👺"
"clown","\U0001f921","🤡"
"clown_face","\U0001f921","🤡"
"poop","\U0001f4a9","💩"
"shit","\U0001f4a9","💩"
"hankey","\U0001f4a9","💩"
"poo","\U0001f4a9","💩"
"ghost","\U0001f47b","👻"
"skull","\U0001f480","💀"
"skeleton","\U0001f480","💀"
"skull_crossbones","\u2620\ufe0f","☠️"
"skull_and_crossbones","\u2620\ufe0f","☠️"
"alien","\U0001f47d","👽"
"space_invader","\U0001f47e","👾"
"robot","\U0001f916","🤖"
"robot_face","\U0001f916","🤖"
"jack_o_lantern","\U0001f383","🎃"
"smiley_cat","\U0001f63a","😺"
"smile_cat","\U0001f638","😸"
"joy_cat","\U0001f639","😹"
"heart_eyes_cat","\U0001f63b","😻"
"smirk_cat","\U0001f63c","😼"
"kissing_cat","\U0001f63d","😽"
"scream_cat","\U0001f640","🙀"
"crying_cat_face","\U0001f63f","😿"
"pouting_cat","\U0001f63e","😾"
"palms_up_together","\U0001f932","🤲"
"open_hands","\U0001f450","👐"
"raised_hands","\U0001f64c","🙌"
"clap","\U0001f44f","👏"
"handshake","\U0001f91d","🤝"
"shaking_hands","\U0001f91d","🤝"
"thumbsup","\U0001f44d","👍"
"1","\U0001f44d","👍"
"thumbup","\U0001f44d","👍"
"thumbsdown","\U0001f44e","👎"
"-1","\U0001f44e","👎"
"thumbdown","\U0001f44e","👎"
"punch","\U0001f44a","👊"
